Mandante	Material	Sales Organization	Distribution Channel	Grid Value	Core Assortment Start Date	Core Collection Start Date	Core Assortment End Date	Core Collection End Date
100	103994			1ED5118		01/02/2021		31/08/2021
100	103994			35J5118		01/02/2021		31/08/2021
100	103994			C9A5118		01/02/2021		31/08/2021
100	103994			KB75118		01/02/2021		31/08/2021
100	103997			0865017		01/02/2021		31/08/2021
100	103997			7335017		01/02/2021		31/08/2021
100	103986			35J5214		01/02/2021		31/08/2021
100	103987			ZI95317		01/02/2021		31/08/2021
100	103655			OO45318		01/02/2021		31/08/2021
100	103655			XP85318		01/02/2021		31/08/2021
100	103657			F2G5317		01/02/2021		31/08/2021
100	103987			ZI95117		01/02/2021		31/08/2021
100	103989			0865115		01/02/2021		31/08/2021
100	203281			7J2529O		01/02/2021		31/08/2021
100	203281			MAP52LA		01/02/2021		31/08/2021
100	203281			TAY529O		01/02/2021		31/08/2021
100	203282			00055FF		01/02/2021		31/08/2021
100	203282			NZU55WJ		01/02/2021		31/08/2021
100	203283			MAP56HA		01/02/2021		31/08/2021
100	203284			PSX58FF		01/02/2021		31/08/2021
100	203284			RHL589O		01/02/2021		31/08/2021
100	203547			09Q54HA		01/02/2021		31/08/2021
100	203549			80755M9		01/02/2021		31/08/2021
100	203550			08655HA		01/02/2021		31/08/2021
100	203550			80755WJ		01/02/2021		31/08/2021
100	203551			08660LA		01/02/2021		31/08/2021
100	203551			35J60G4		01/02/2021		31/08/2021
100	203551			807609O		01/02/2021		31/08/2021
100	203552			807599O		01/02/2021		31/08/2021
100	203589			09Q55HA		01/02/2021		31/08/2021
100	203589			807559O		01/02/2021		31/08/2021
100	203549			08655HA		01/02/2021		31/08/2021
100	203547			80754JP		01/02/2021		31/08/2021
100	103437			DDB5219		01/02/2021		31/08/2021
100	103464			35J5417		01/02/2021		31/08/2021
100	103464			J5G5417		01/02/2021		31/08/2021
100	103814			8075020		01/02/2021		31/08/2021
100	103814			KB75020		01/02/2021		31/08/2021
100	103814			PJP5020		01/02/2021		31/08/2021
100	103815			0864819		01/02/2021		31/08/2021
100	103815			8074819		01/02/2021		31/08/2021
100	103815			ZI94819		01/02/2021		31/08/2021
100	103816			35J5316		01/02/2021		31/08/2021
100	103821			8075417		01/02/2021		31/08/2021
100	103821			LHF5417		01/02/2021		31/08/2021
